M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24
0;0;0,263208453;4,769706023;0,023639303;0;0,36633918;3,156377346;2,327386979;0;0;0;0;0,149879147;0,166783648;0;0;0;0,296062568;0;0;0,029553102;0;0,272069333
0;0;0,235432833;4,697469353;0,021530266;0,002328189;0,380618104;3,216669432;0,492750208;0;0;0;0;0,181708916;0,164705273;0;0;0;0,306449143;0;0;0,043648193;0;2,908727832
0;0;0,198686855;4,369010724;0,010671814;0,009958107;0,217319563;3,599438526;0,451931279;0;0;0;0;0,067772747;0;0;0;0;3,021010763;0;0,167489434;0;0;0
0;0;0,17900489;4,306114143;0;0;0,100726589;3,342029767;0,348650111;0;0;0,108435658;0;0,036297736;0;0;0;0;2,627314222;0,190941619;1,982104358;0;0;0
0;0;0,196791312;4,459789626;0,01422053;0;0,131562108;3,642446808;0,450556271;0;0;0,898311882;0;0,050894769;0;0;0;0;3,210381784;0,171664213;3,337215927;0;0;0
0;0;0,195679662;4,390567479;0,006789669;0;0,104319456;3,667214645;0,459230647;0;0,035081752;3,015983413;0;0,044435658;0;0;0,006819811;0;3,085651682;1,973173431;3,132194967;0;0;0
0;0;0,207361798;4,423182638;0,02413678;0;0,142051486;3,769332732;0,485824001;0;0,062205589;3,560434919;0;0,053507398;0;0;0;0;2,995672302;0,256216996;3,512205497;0;0;0
0;0;0,222628701;4,32831616;0,000567257;0;0,092124566;3,439519868;0,347496138;0;0,040571722;3,025529263;0;0,04731553;0;0;0,122882238;0;0,768923017;0,253269548;2,97296503;0;0,274673189;0
0;0;0,216582628;4,443587074;0,01189969;0;0,07330444;3,307164787;0,360558176;0;0,016362782;2,916716428;0;0,02878151;0;0;2,930468322;0;0,134249878;0,268690585;3,604881645;0;0,61560565;0
1,544766634;0,296089603;2,821164594;0,995769211;0,659708502;0;3,133050797;2,208978898;0,394312156;3,8255371;0,385710839;0,035817594;0;2,436804911;0,330190819;0;0;0;0;0,012920522;0;0;4,322328997;0,007983307
1,479200738;0,373972757;2,556790253;0,932693076;0,51674483;0;2,945148964;1,507959038;0,346174852;4,362244902;0,783107011;0,114938979;0;1,553683168;0,357538778;0;0;0;0;0,050905466;0;0;4,911353447;0,075990182
1,765927038;0,364704267;2,555090427;1,129240945;0,48161018;0;2,464365506;2,024415839;0,400048997;4,122795779;0,624715786;0,062389541;0;0,437604739;0,396064558;0;0;0;0;0,020827957;0;0;4,2583033;0,024838226
1,533040956;0,256429505;2,325079677;0,957807213;0,435087876;0;3,003932725;1,351502516;0,272480641;4,050638187;0,512227266;0,063758178;0;0,330573504;1,415135072;0;0;0;0;0,0498239;0;0;4,493952438;0,051859448
0,827938668;0,151961763;2,572892526;1,056421069;0,468858686;0;3,18795611;0,843256031;0,361782193;3,916252862;0,352127601;0,061414133;0;0,352767082;0,189806439;0;0;0;0;0,069387718;0;0;4,82910462;0,082396453
1,329646332;0,117727422;2,502955966;1,371183996;0,563116727;0;3,749511619;0,645711563;0,409132043;4,138241404;0,457854712;0,050553015;0;0,179496152;0,170515503;0;0;0;0;0,037378874;0;0;2,958436046;0
1,56774081;0,195433404;2,404224766;0,869408981;0,472117662;0;3,291807982;0,69541658;0,311788913;4,278753395;1,320281422;0,085684838;0;0,319913789;0,258658093;0;0;0;0;0,027395281;0;0;3,484485703;0
0,849852379;0,033818292;1,926494378;0,705319986;0,298079645;0;3,538706926;0,474063645;0,220332396;3,573824637;0,258304854;0;0;0,126574796;0,093064789;0;0;0;0;0;0;0;2,556894874;0
1,278630398;0,075119416;2,293554972;0,543736498;0,403556355;0;3,956776844;1,416376449;0,26295363;4,06237049;0,340109065;0,045323638;0;0,143910663;0,162620209;0;0;0;0;0,003033187;0;0;3,157226768;0
1,093902525;0,05859228;1,697276522;0,834177988;0,303635638;0;3,932181836;2,489003377;0,383870805;4,04294779;0,325166199;0,041236747;0;0,132233866;0,244943481;0;0;0;0;0;0;0;3,294143501;0
0;0,016326834;1,429491353;1,422101278;0,209941968;0;2,570646984;0,192506706;0,427929834;1,69749936;0,225955015;0;0;0,204631814;0;0;0;0;0;0;0;0;0,365765387;0
0;0;0,275617041;4,758958366;0,022152604;0;0,322425549;3,208242811;0,348798611;0;0;0;0;0,115086691;0,207249889;0;0;0;0,191188217;0;0;0,012782647;0;0,147972549
0;0;0,220422561;4,595069235;0,001947679;0;0,286325881;3,337730158;0,447822939;0;0;0;0;0,080545312;0,071548336;0;0;0;1,821430149;0;0;0;0;0,053927743
0;0;0,182154376;4,178530773;0;0;0,078441547;3,17706595;0,282223934;0;0;0,32234123;0;0,039233847;0;0;0,225758703;0;2,307584128;1,772540167;0,801985055;0;0;0
0;0;0,192933061;4,314894519;0;0;0,091571433;3,354261544;0,373826454;0;0;0,006490037;0;0,039389467;0;0;1,931450304;0;2,606416793;0,308005558;0,824074787;0;0;0
0;0;0,178074341;4,428709855;0;0;0,099365398;3,476540621;0,390712615;0;0;0,49405596;0;0,031944334;0;0;0;0;3,138936901;1,924665044;2,636462267;0;0;0
0;0;0,159147193;4,206173288;0;0;0,096114082;3,400961071;0,369672922;0;0;2,511016499;0;0,049576148;0;0;0;0;2,491978007;0,352932197;2,299661645;0;0;0
0;0;0,173786698;4,188255161;0;0;0,083851078;3,348590364;0,340580989;0;0,001101245;2,518109151;0;0,039354261;0;0;0,347437097;0;2,303286718;2,173743984;1,793361443;0;0;0
0;0;0,205288618;4,424443814;0,020279631;0;0,126810699;3,720141791;0,495899395;0;0,058878354;3,473947065;0;0,053295301;0;0;2,660957501;0;2,792570869;2,009401412;2,856962907;0;0;0
0;0;0,211053495;4,601709676;0,037524622;0;0,146446604;3,866816454;0,5276298;0;0,041478498;3,26569847;0;0,077121421;0;0,10217623;3,860538449;0;2,970161372;0,699519495;3,383955811;0;0;0
1,587715969;0,493574468;2,999211564;1,507070842;0,988411521;0;3,297552233;2,746712221;0,91237262;4,400501428;2,941659116;0,083943429;0;1,228964085;0,675927498;0;0,037768105;0;0;0;0;0;4,890888901;0,099140824
